t,x,y,match,team,player,won,tstd,tsync,tper,tier,zone
2280033,81,74,569649581,radiant,%40Foggeddota,1,1550700,1551,0.000680253312123114,Pro,midlane dire
2280033,80,76,569649581,radiant,%40MiSeRyDOTA,1,1550700,1551,0.000680253312123114,Pro,midlane dire
2280033,78,76,569649581,radiant,%40MSSDota,1,1550700,1551,0.000680253312123114,Pro,midlane dire
2280033,78,70,569649581,radiant,%40PajkattDota,1,1550700,1551,0.000680253312123114,Pro,midlane dire
2280033,116,107,569649581,dire,%5BHyperX%5D%20Liquid%60FLUFF,0,1550700,1551,0.000680253312123114,Pro,base2 dire
2280033,119,112,569649581,dire,%5BHyperX%5D%20Liquid%60qojqva,0,1550700,1551,0.000680253312123114,Pro,base2 dire
2280033,80,81,569649581,dire,%5BHyperX%5D%20Liquid%60TC,0,1550700,1551,0.000680253312123114,Pro,midlane dire
2280033,118,108,569649581,dire,%5BHyperX%5D%20Liquid%60wayto,0,1550700,1551,0.000680253312123114,Pro,base2 dire
2280033,15,60,569649581,dire,2%2E,0,1550700,1551,0.000680253312123114,Pro,toplane radiant
2280033,78,73,569649581,radiant,smulgullig,1,1550700,1551,0.000680253312123114,Pro,midlane dire
4680600,106,103,569716737,radiant,%2D%2D,1,3978867,3979,0.000850104687433235,Pro,base2 dire
4680600,103,99,569716737,radiant,%CE%A3%2010MAD,1,3978867,3979,0.000850104687433235,Pro,base2 dire
4680600,103,102,569716737,radiant,%CE%A3%20FATA%2D,1,3978867,3979,0.000850104687433235,Pro,base2 dire
4680600,109,101,569716737,radiant,%CE%A3%20miGGel,1,3978867,3979,0.000850104687433235,Pro,base2 dire
4680600,103,98,569716737,radiant,%CE%A3%20Paris%20%CE%A3,1,3978867,3979,0.000850104687433235,Pro,base2 dire
4680600,60,11,569716737,dire,MyM%20%7C%20Mini,0,3978867,3979,0.000850104687433235,Pro,bottomlane radiant
4680600,100,103,569716737,dire,MYM%20Ace,0,3978867,3979,0.000850104687433235,Pro,base2 dire
4680600,99,99,569716737,dire,MYM%20Cr1t%2D,0,3978867,3979,0.000850104687433235,Pro,base2 dire
4680600,108,105,569716737,dire,MYM%20Exist,0,3978867,3979,0.000850104687433235,Pro,base2 dire
4680600,58,11,569716737,dire,MYM%20unicorn,0,3978867,3979,0.000850104687433235,Pro,bottomlane radiant
4980300,120,111,579132234,dire,%2EGooDGuY,0,4179900,4180,0.000839306869064113,Pro,base2 dire
4980300,111,66,579132234,radiant,Empire%2EALWAYSWANNAFLY,1,4179900,4180,0.000839306869064113,Pro,bottomlane dire
4980300,80,73,579132234,radiant,Empire%2EMag,1,4179900,4180,0.000839306869064113,Pro,midlane dire
4980300,111,75,579132234,radiant,Empire%2EResolut1on,1,4179900,4180,0.000839306869064113,Pro,bottomlane dire
4980300,80,28,579132234,radiant,Empire%2ESilent%20%3C3%20Mila,1,4179900,4180,0.000839306869064113,Pro,jungle radiant
4980300,26,21,579132234,radiant,Empire%2EVANSKOR%20%3C3%20MeowMeow,1,4179900,4180,0.000839306869064113,Pro,base1 radiant
4980300,110,83,579132234,dire,Fnatic%2EEra,0,4179900,4180,0.000839306869064113,Pro,base2 dire
4980300,111,81,579132234,dire,Fnatic%2EFly,0,4179900,4180,0.000839306869064113,Pro,base2 dire
