x,y,count
53,38,2
116,42,1
80,21,1
84,8,1
16,85,8
95,51,4
110,49,3
71,77,5
113,77,15
8,93,9
40,115,2
53,99,1
91,17,1
30,29,57
54,48,4
61,64,5
111,57,4
82,108,1
79,96,1
53,53,8
28,7,7
80,95,1
74,84,2
122,66,1
64,60,8
90,57,1
105,9,5
90,97,1
45,75,1
64,117,1
69,111,1
66,106,4
115,6,2
57,116,1
119,62,1
45,114,1
7,90,5
79,52,5
67,82,2
50,93,2
94,58,3
82,69,6
96,111,1
98,73,1
43,107,6
120,27,16
13,92,5
65,56,1
115,46,4
57,70,3
110,52,3
70,86,1
87,105,1
88,105,2
82,103,3
19,98,7
58,60,7
113,65,3
90,102,3
84,39,1
16,77,9
108,81,1
14,78,4
91,63,2
52,88,4
102,15,8
72,78,2
72,66,8
112,35,5
84,109,1
116,76,2
111,28,3
61,73,4
111,75,3
113,72,2
13,39,16
32,8,25
77,55,2
68,46,3
12,46,2
43,75,2
56,106,1
49,44,6
45,98,3
98,23,1
69,64,4
60,57,9
48,48,6
75,50,2
86,29,2
13,112,2
14,38,8
18,35,6
96,17,7
55,74,1
51,55,4
37,13,11
65,64,5
54,46,5
57,56,6
51,40,2
63,64,2
32,93,2
28,116,5
12,57,4
9,13,8
47,18,1
49,46,4
26,102,3
62,48,2
64,61,5
42,99,3
52,113,2
12,39,12
49,108,4
46,74,4
84,27,2
81,14,2
9,96,5
121,62,1
78,25,1
65,81,2
52,32,1
96,104,1
100,38,5
23,87,3
21,101,8
62,63,10
18,89,2
82,27,2
26,75,1
69,80,2
23,105,3
68,89,2
92,68,3
84,106,2
68,90,1
118,29,7
66,105,1
80,51,6
92,40,1
15,79,9
21,87,1
12,76,4
78,29,1
87,50,4
109,38,4
67,65,8
59,95,1
113,37,5
6,98,7
34,98,1
116,38,2
95,58,3
61,61,11
15,59,3
54,43,4
34,30,2
40,94,2
33,8,14
38,13,4
34,8,19
31,7,5
53,54,8
43,59,4
93,19,4
75,40,3
35,39,6
13,101,2
28,113,1
28,34,6
84,19,1
26,63,2
12,53,5
38,15,6
30,30,27
32,29,19
29,31,41
36,11,22
64,90,2
45,8,2
113,36,8
36,12,30
34,3,4
59,9,2
74,29,4
17,55,1
29,32,14
47,11,4
14,85,6
19,67,4
53,65,2
49,9,2
70,39,3
30,101,4
15,64,3
48,32,5
21,34,4
77,78,1
66,108,6
26,7,4
37,14,13
43,80,2
62,15,1
71,39,1
69,32,1
31,102,1
22,45,1
30,31,17
36,17,1
69,108,2
26,6,2
48,36,3
13,69,2
95,11,2
73,26,2
60,11,4
72,35,1
68,21,1
25,105,4
75,71,2
105,17,6
47,80,1
52,115,2
37,41,4
74,5,1
28,88,2
32,6,1
39,12,3
38,32,4
57,57,11
65,61,10
66,97,2
97,13,4
117,40,2
53,56,3
97,56,2
29,64,1
59,10,8
80,100,3
75,94,4
104,26,4
110,43,6
116,54,2
93,13,1
75,61,7
66,61,7
107,34,5
62,11,1
79,64,3
78,65,1
73,97,4
37,97,5
116,39,5
11,77,3
75,74,3
13,80,6
53,59,1
109,34,6
115,34,3
108,50,1
113,17,2
42,47,1
18,58,3
110,16,2
81,40,5
44,41,1
17,96,9
30,64,3
49,48,6
94,7,3
24,105,1
82,45,2
36,43,1
22,8,4
32,33,4
86,44,2
23,94,4
7,66,1
21,9,10
27,35,1
41,47,3
33,22,8
11,73,2
88,46,5
55,64,2
12,80,8
108,35,6
101,21,7
101,14,3
74,66,6
101,27,3
96,9,1
74,69,3
98,17,1
95,5,1
46,105,3
77,63,8
82,35,3
115,51,2
58,52,5
13,67,2
74,40,4
61,58,8
102,26,3
81,13,3
84,56,3
75,79,3
19,96,5
92,62,4
57,59,6
52,36,5
85,28,4
87,10,2
13,82,6
108,54,1
26,95,1
76,40,5
73,67,7
30,62,2
79,54,3
81,70,4
62,75,5
83,28,1
15,49,3
86,104,13
113,26,9
14,47,4
84,82,2
105,26,1
21,57,1
102,13,6
84,58,4
71,47,1
29,87,2
104,17,3
71,62,3
89,103,3
55,52,3
36,10,24
16,78,4
97,4,2
15,95,4
91,72,3
43,14,1
12,56,2
16,48,1
8,97,5
102,30,3
10,45,1
11,92,5
39,17,1
7,77,2
7,71,2
116,43,5
53,33,2
17,81,1
6,49,1
91,73,2
99,20,2
115,43,1
17,68,4
28,60,1
89,74,1
65,39,6
85,48,3
11,68,3
69,38,1
69,21,1
13,65,5
68,60,3
56,47,4
78,47,1
19,82,1
14,80,6
25,63,1
23,8,1
91,50,5
14,48,3
78,52,5
116,110,3
34,28,3
115,108,2
59,57,5
107,4,1
37,17,1
31,106,3
111,50,2
16,76,4
38,11,2
40,14,2
105,23,2
31,95,7
67,88,2
50,49,9
64,65,2
94,49,1
90,11,1
48,29,1
27,111,2
91,16,6
37,12,7
30,33,3
18,98,3
38,19,1
108,19,5
12,69,4
99,6,2
32,28,22
66,31,2
9,56,1
38,45,3
79,25,2
109,36,6
49,30,1
7,67,1
51,36,3
14,40,7
62,55,2
96,55,3
121,48,1
15,94,3
120,26,13
121,25,6
46,93,1
55,43,2
83,71,3
34,94,2
112,55,2
110,56,4
64,16,1
103,28,1
58,45,3
77,35,1
101,5,2
21,94,2
30,89,2
92,30,2
79,32,2
120,45,2
31,29,26
34,31,3
21,89,3
66,48,1
105,19,5
16,96,4
102,11,7
36,41,2
65,66,7
54,52,7
57,53,6
109,16,7
16,79,8
79,55,2
81,45,1
19,101,5
36,31,5
84,12,1
101,62,4
80,46,2
13,73,5
108,13,3
46,43,3
23,63,2
90,42,1
18,88,5
65,41,1
19,102,2
111,29,5
35,47,1
55,58,4
108,12,2
63,9,2
