x,y,Tier,WinLose
23,15,Pro,1
28,12,Pro,1
32,12,Pro,1
26,22,Pro,1
114,98,Pro,0
111,75,Pro,0
114,107,Pro,0
101,106,Pro,0
114,107,Pro,0
23,15,Pro,1
37,9,Pro,1
13,11,Pro,1
29,11,Pro,1
14,41,Pro,1
21,10,Pro,1
111,107,Pro,0
111,75,Pro,0
108,107,Pro,0
110,106,Pro,0
91,107,Pro,0
113,106,Pro,0
19,12,Pro,1
11,19,Pro,1
18,15,Pro,1
16,12,Pro,1
15,16,Pro,1
114,108,Pro,0
117,110,Pro,0
100,108,Pro,0
108,108,Pro,0
114,91,Pro,1
116,95,Pro,1
116,97,Pro,1
116,86,Pro,1
114,92,Pro,1
23,10,Pro,0
12,29,Pro,0
13,11,Pro,0
14,13,Pro,0
12,11,Pro,0
16,12,Pro,1
21,13,Pro,1
14,12,Pro,1
19,11,Pro,1
102,106,Pro,0
103,107,Pro,0
103,106,Pro,0
100,106,Pro,0
24,12,Pro,1
103,108,Pro,0
12,13,Pro,1
12,15,Pro,1
12,17,Pro,1
13,12,Pro,1
105,108,Pro,0
114,107,Pro,0
113,101,Pro,0
114,106,Pro,0
113,105,Pro,0
12,8,Pro,1
12,17,Pro,0
113,107,Pro,1
113,108,Pro,1
119,110,Pro,1
113,107,Pro,1
11,9,Pro,0
14,11,Pro,0
13,10,Pro,0
15,11,Pro,0
115,101,Pro,1
114,105,Pro,1
114,102,Pro,1
117,107,Pro,1
116,103,Pro,1
115,104,Pro,1
12,9,Pro,0
12,19,Pro,0
12,9,Pro,0
12,10,Pro,0
10,10,Pro,0
114,106,Pro,0
109,103,Pro,0
116,99,Pro,0
115,105,Pro,0
115,106,Pro,0
16,11,Pro,1
23,10,Pro,1
15,11,Pro,1
14,11,Pro,1
19,11,Pro,1
116,106,Pro,0
103,108,Pro,0
115,107,Pro,0
17,12,Pro,1
15,30,Pro,1
17,12,Pro,1
21,10,Pro,1
21,17,Pro,1
113,90,Pro,0
115,109,Pro,0
112,86,Pro,0
14,23,Pro,1
15,11,Pro,1
26,12,Pro,1
14,14,Pro,1
114,107,Pro,0
112,107,Pro,0
16,11,Pro,1
111,105,Pro,0
114,107,Pro,0
14,21,Pro,0
12,11,Pro,0
24,12,Pro,0
15,12,Pro,0
104,108,Pro,1
94,108,Pro,1
89,107,Pro,1
99,108,Pro,1
104,108,Pro,1
17,12,Pro,0
13,14,Pro,1
25,11,Pro,1
16,11,Pro,1
114,93,Pro,0
115,107,Pro,0
116,108,Pro,0
112,103,Pro,0
113,93,Pro,0
9,11,Pro,1
10,10,Pro,1
116,87,Pro,1
111,106,Pro,1
93,108,Pro,1
96,108,Pro,1
57,10,Pro,0
14,49,Pro,0
29,18,Pro,0
46,10,Pro,0
37,13,Pro,0
103,108,Pro,1
114,108,Pro,0
112,107,Pro,0
109,103,Pro,0
94,108,Pro,0
113,100,Pro,0
31,11,Pro,1
10,10,Pro,1
11,11,Pro,1
10,7,Pro,1
18,11,Pro,1
12,12,Pro,1
12,27,Pro,1
14,11,Pro,1
11,8,Pro,1
12,8,Pro,1
113,105,Pro,0
114,108,Pro,0
115,106,Pro,0
115,105,Pro,0
113,106,Pro,0
118,106,Pro,0
76,103,Pro,0
114,108,Pro,0
112,105,Pro,0
38,39,Pro,1
32,36,Pro,1
38,43,Pro,1
36,40,Pro,1
112,106,Pro,0
29,32,Pro,1
116,108,Pro,1
115,108,Pro,1
115,108,Pro,1
112,107,Pro,1
116,107,Pro,1
10,9,Pro,0
11,10,Pro,0
12,10,Pro,0
11,9,Pro,0
12,9,Pro,0
62,74,Pro,1
115,106,Pro,1
94,85,Pro,1
44,68,Pro,0
62,41,Pro,0
37,89,Pro,1
47,33,Pro,0
51,43,Pro,0
30,105,Pro,1
60,40,Pro,0
103,99,Pro,1
111,99,Pro,1
107,105,Pro,1
14,11,Pro,0
25,11,Pro,0
111,108,Pro,1
14,11,Pro,0
11,11,Pro,0
12,10,Pro,0
114,107,Pro,1
10,10,Pro,0
115,108,Pro,1
115,101,Pro,1
114,99,Pro,1
116,103,Pro,1
113,103,Pro,1
11,11,Pro,0
9,9,Pro,0
13,11,Pro,0
11,10,Pro,0
84,105,Pro,1
115,105,Pro,1
115,107,Pro,1
98,91,Pro,1
113,78,Pro,1
43,58,Pro,0
39,50,Pro,0
40,52,Pro,0
37,45,Pro,0
40,51,Pro,0
14,45,Pro,0
19,15,Pro,0
43,10,Pro,0
24,23,Pro,0
19,11,Pro,0
115,101,Pro,1
116,105,Pro,1
114,100,Pro,1
115,83,Pro,1
112,86,Pro,1
114,97,Pro,0
114,93,Pro,0
18,11,Pro,1
12,22,Pro,1
13,13,Pro,1
20,11,Pro,1
16,12,Pro,1
114,98,Pro,0
116,106,Pro,0
115,109,Pro,0
17,20,Pro,1
21,25,Pro,1
20,21,Pro,1
24,22,Pro,1
19,23,Pro,1
113,107,Pro,0
115,106,Pro,0
115,105,Pro,0
113,89,Pro,0
113,106,Pro,0
14,13,Pro,1
13,13,Pro,1
15,29,Pro,1
25,15,Pro,1
14,11,Pro,1
112,107,Pro,0
114,106,Pro,0
111,105,Pro,0
108,107,Pro,0
112,86,Pro,0
11,13,Pro,0
115,103,Pro,1
116,108,Pro,1
115,106,Pro,1
116,102,Pro,1
114,105,Pro,1
15,18,Pro,0
8,9,Pro,0
11,9,Pro,0
11,11,Pro,0
114,108,Pro,0
84,100,Pro,0
101,108,Pro,0
85,101,Pro,0
102,107,Pro,0
13,39,Pro,1
13,38,Pro,1
13,42,Pro,1
14,40,Pro,1
11,40,Pro,1
116,103,Pro,1
114,105,Pro,1
117,108,Pro,1
11,9,Pro,0
14,13,Pro,0
12,10,Pro,0
16,12,Pro,0
24,12,Pro,0
114,93,Pro,1
115,106,Pro,1
107,93,Pro,0
114,107,Pro,0
116,85,Pro,0
113,75,Pro,0
113,78,Pro,0
32,11,Pro,1
40,13,Pro,1
53,12,Pro,1
47,9,Pro,1
43,11,Pro,1
114,107,Pro,1
115,106,Pro,1
13,22,Pro,0
112,104,Pro,1
12,22,Pro,0
11,15,Pro,0
14,17,Pro,0
114,97,Pro,1
109,106,Pro,1
19,23,Pro,0
15,31,Pro,0
15,13,Pro,0
20,14,Pro,0
28,11,Pro,0
27,12,Pro,0
114,96,Pro,0
115,99,Pro,0
116,106,Pro,0
94,104,Pro,0
116,107,Pro,0
9,7,Normal,0
33,31,Normal,0
61,67,Normal,1
50,11,Normal,0
56,11,Normal,0
52,108,Normal,1
54,93,Normal,1
12,63,Normal,0
110,71,Normal,1
89,83,Normal,1
114,74,Normal,1
9,8,Normal,0
14,71,Normal,0
86,45,Normal,1
14,50,Normal,0
60,105,Normal,1
82,104,Normal,1
85,44,Normal,0
64,60,Normal,1
51,53,Normal,0
116,108,Normal,1
73,104,Normal,1
52,10,Normal,0
113,63,Normal,1
62,66,Normal,1
48,71,Normal,0
13,31,Normal,0
9,10,Normal,0
86,104,Normal,1
14,76,Normal,0
30,30,High,1
20,28,High,1
111,83,High,0
45,10,High,1
104,101,High,0
45,11,High,1
113,105,High,0
89,107,High,0
29,18,High,1
113,84,High,0
60,57,Normal,0
110,32,Normal,0
114,28,Normal,1
9,7,Normal,1
29,81,Normal,0
54,54,Normal,1
117,29,Normal,1
14,78,Normal,1
14,86,Normal,0
114,36,Normal,0
9,8,High,1
48,108,High,0
111,76,High,0
101,97,High,0
47,86,High,0
59,11,High,1
64,95,High,0
33,79,High,1
10,7,High,1
47,47,High,1
31,26,High,0
75,104,High,1
26,29,High,0
115,106,High,1
36,14,High,0
94,86,High,1
60,13,High,0
16,31,High,0
104,93,High,1
109,39,High,1
87,80,High,0
30,29,High,1
116,108,High,0
86,105,High,0
12,29,High,1
11,8,High,1
114,107,High,0
20,13,High,1
13,8,High,1
114,97,High,0
31,12,Normal,1
116,109,Normal,0
109,97,Normal,0
16,12,Normal,1
56,36,Normal,1
34,33,Normal,1
12,47,Normal,1
114,73,Normal,0
121,106,Normal,0
71,108,Normal,0
45,11,Normal,0
106,61,Normal,1
71,65,Normal,1
115,105,Normal,1
10,8,Normal,0
13,36,Normal,0
14,16,Normal,0
56,107,Normal,1
94,91,Normal,1
34,33,Normal,0
10,12,High,0
117,109,High,1
17,11,High,0
82,103,High,1
11,10,High,0
12,7,High,0
88,79,High,1
95,105,High,1
20,20,High,0
118,109,High,1
108,96,High,0
8,9,High,1
13,11,High,1
10,9,High,1
9,6,High,1
115,108,High,0
115,109,High,0
115,107,High,0
13,12,High,1
97,105,High,0
40,10,High,0
44,97,High,1
119,107,High,1
25,45,High,0
11,8,High,0
18,87,High,0
33,31,High,0
88,107,High,1
108,35,High,1
113,105,High,1
16,12,High,1
79,105,High,0
11,10,High,1
115,101,High,0
15,55,High,1
93,89,High,0
110,107,High,0
49,10,High,1
23,20,High,1
89,107,High,0
37,11,High,1
103,107,High,0
25,10,High,1
112,71,High,0
112,93,High,0
25,14,High,1
86,80,High,0
82,105,High,0
30,25,High,1
15,32,High,1
14,76,Normal,1
